id,tokenId,value,operator,from,to,claimIds,transactionHash
19,22,10000000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"58,59,60,61,62,63,64,65",0x0775016e07dc244764ac91a016061149daa0a06fbd51e9ce767f96c5d26a3c2f
20,23,7000000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"66,67,68,69,70,71",0x0775016e07dc244764ac91a016061149daa0a06fbd51e9ce767f96c5d26a3c2f
21,24,11000000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"72,73,74,75,76",0x0775016e07dc244764ac91a016061149daa0a06fbd51e9ce767f96c5d26a3c2f
22,25,11000000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"77,78,79,80,81",0xd8116e8a48bca18adf5f2cfbe17b9a8fcf2ad58f93411b5e984bfb1f2b147c3d
23,26,12074000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"82,83,84,85,86,87",0xd8116e8a48bca18adf5f2cfbe17b9a8fcf2ad58f93411b5e984bfb1f2b147c3d
24,27,6000000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"88,89,90,91,92",0xd8116e8a48bca18adf5f2cfbe17b9a8fcf2ad58f93411b5e984bfb1f2b147c3d
25,28,336000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,93,0xd8116e8a48bca18adf5f2cfbe17b9a8fcf2ad58f93411b5e984bfb1f2b147c3d
26,29,7111000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"94,95,96,97,98,99",0xd8116e8a48bca18adf5f2cfbe17b9a8fcf2ad58f93411b5e984bfb1f2b147c3d
27,30,330000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,100,0x4c552871069e76b4b3cbac7e6a34343c546c3d820447157ec2d3db65646275e4
28,31,12000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,101,0x6ed0bf0aeb3d3fbb8f0c4b78cb6f9070515dccbd403b77cb830b1fc1f551549b
