agreementAddress,certificateId,signedAmount,filledAmount,buyer,seller,metadata,metadataDecoded
0xdE25280797667e38b7c5F16b1678f0520e8F1C95,318,37000000,37000000,0x53fE463644d3bA25DCb40Ccb1cE7871Fb9886D02,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005b495245432d2d57494e442d2d434e2d2d2d36363634323231622d656364312d343937612d386131392d6562366539643864613764392d2d66303263333234632d653939322d353434622d386661612d3966643834346662303664350000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""CN"",""agreementId"":""6664221b-ecd1-497a-8a19-eb6e9d8da7d9"",""orderId"":""f02c324c-e992-544b-8faa-9fd844fb06d5""}"
0xf2c876066bc66aB557E5b1e193AdC61bC4EAd297,329,69000000,69000000,0x08b6230Fc7bC5a094D232f05614dc3a6d24e689F,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005b495245432d2d57494e442d2d434e2d2d2d31613866363164632d333265642d343533652d393237352d3534313935323964313639322d2d66303263333234632d653939322d353434622d386661612d3966643834346662303664350000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""CN"",""agreementId"":""1a8f61dc-32ed-453e-9275-5419529d1692"",""orderId"":""f02c324c-e992-544b-8faa-9fd844fb06d5""}"
0xd909d276dA8E688279087833319355e2aea12539,340,134000000,134000000,0x320d88F34a89Ab3e2161500536DB6164873cf2a8,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005b495245432d2d57494e442d2d434e2d2d2d38313236336235662d313738332d346163632d396333392d3861666563383430373436342d2d66303263333234632d653939322d353434622d386661612d3966643834346662303664350000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""CN"",""agreementId"":""81263b5f-1783-4acc-9c39-8afec8407464"",""orderId"":""f02c324c-e992-544b-8faa-9fd844fb06d5""}"
0xc58A822ffFBFD1ED305362da61e1Fc4ca6512E2e,351,1000000,1000000,0x954D8Dd3f93AA1B1C9E291B7ee558eFB05f4683d,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005b495245432d2d57494e442d2d434e2d2d2d32323436316137342d326636622d343439342d616362372d3935346530613437623430332d2d66303263333234632d653939322d353434622d386661612d3966643834346662303664350000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""CN"",""agreementId"":""22461a74-2f6b-4494-acb7-954e0a47b403"",""orderId"":""f02c324c-e992-544b-8faa-9fd844fb06d5""}"
0x4b9a699b13B793698c571c7df18C57f045F490C1,362,10000000,10000000,0x21e3Bdf2E3b37B931E23b2De9cc126a78fbd166D,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005b495245432d2d57494e442d2d434e2d2d2d39373135386464362d393061612d346263382d613637642d3536363564396663333335342d2d66303263333234632d653939322d353434622d386661612d3966643834346662303664350000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""CN"",""agreementId"":""97158dd6-90aa-4bc8-a67d-5665d9fc3354"",""orderId"":""f02c324c-e992-544b-8faa-9fd844fb06d5""}"
0xc471CbbFb6967a01e681152fE7BB4785E5A6cd85,373,8000000,8000000,0x6953567D547eD06385f0a4e345393a9DBE9d170f,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005b495245432d2d57494e442d2d434e2d2d2d61313535663665662d336366362d346132342d613765362d3935373238653766633465382d2d66303263333234632d653939322d353434622d386661612d3966643834346662303664350000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""CN"",""agreementId"":""a155f6ef-3cf6-4a24-a7e6-95728e7fc4e8"",""orderId"":""f02c324c-e992-544b-8faa-9fd844fb06d5""}"
0x2f289dC3153c54e62eA640fe65C3Df4Da3A483F8,384,8000000,8000000,0xCD0486Dc5e9463a936dABA6eD9cD00233749Df1C,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005b495245432d2d57494e442d2d434e2d2d2d35363433343639312d386162342d346461652d623363382d6433663866303939323062632d2d66303263333234632d653939322d353434622d386661612d3966643834346662303664350000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""CN"",""agreementId"":""56434691-8ab4-4dae-b3c8-d3f8f09920bc"",""orderId"":""f02c324c-e992-544b-8faa-9fd844fb06d5""}"
0x09584966e4c3bA133DA8EBfdc3dCEA132a50ABA3,395,3000000,3000000,0x712801Af56ee01065f409cF59FB8826e4f387A3b,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005b495245432d2d57494e442d2d434e2d2d2d62633565643232632d643139382d343834312d396238662d6262623631653866386635382d2d66303263333234632d653939322d353434622d386661612d3966643834346662303664350000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""CN"",""agreementId"":""bc5ed22c-d198-4841-9b8f-bbb61e8f8f58"",""orderId"":""f02c324c-e992-544b-8faa-9fd844fb06d5""}"
0x74173bE94562C7FEC64aa864365aDea7cE616290,406,18000000,18000000,0x528B76322dD81e770d27d718eA3964313607A059,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005b495245432d2d57494e442d2d434e2d2d2d36383266386364392d616339302d343832342d393234382d3037363165373038323938322d2d66303263333234632d653939322d353434622d386661612d3966643834346662303664350000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""CN"",""agreementId"":""682f8cd9-ac90-4824-9248-0761e7082982"",""orderId"":""f02c324c-e992-544b-8faa-9fd844fb06d5""}"
0xb46FeC3adcB2D1c43b37bF8a3cc02D24BC9b1Cbb,417,76000000,76000000,0x0A86dd2e21Db70ABb33Ba1634F6DB247C08F2268,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005b495245432d2d57494e442d2d434e2d2d2d64333962373262382d353332632d346162662d616236622d6262383437623934303932632d2d66303263333234632d653939322d353434622d386661612d3966643834346662303664350000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""CN"",""agreementId"":""d39b72b8-532c-4abf-ab6b-bb847b94092c"",""orderId"":""f02c324c-e992-544b-8faa-9fd844fb06d5""}"
0x405a3Fd616BAe7Cda96b0429268438aA23f8318D,429,108000000,108000000,0x377287999B644BBFca2486877F54CE42f57E71b5,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005b495245432d2d57494e442d2d434e2d2d2d37326462623865652d363237302d346438312d626431392d3364643836383534353239332d2d66303263333234632d653939322d353434622d386661612d3966643834346662303664350000000000,"{""productType"":""REC"",""energySources"":[""WIND""],""country"":""CN"",""agreementId"":""72dbb8ee-6270-4d81-bd19-3dd868545293"",""orderId"":""f02c324c-e992-544b-8faa-9fd844fb06d5""}"
