batchId,storagePointer,certificateIds,redemptionStatement,transactionHash
0x0000000000000000000000000000000000000000000000000000000000000303,https://bafkreidyyev45ompqxrhp3zl5zx37t2rccaxk7htc3x2z67jevhr2zquyu.ipfs.dweb.link,833,bafkreidyyev45ompqxrhp3zl5zx37t2rccaxk7htc3x2z67jevhr2zquyu,0xda45d20fba4ec28c4d18df8c189b9e00102683a82a5116ccb5d0a8bdfc196f59
0x0000000000000000000000000000000000000000000000000000000000000304,https://bafkreiflppxc7u2a3k4kokjm2okyj6p3thw4pqfv6snl5egqin3pxws4ua.ipfs.dweb.link,834,bafkreiflppxc7u2a3k4kokjm2okyj6p3thw4pqfv6snl5egqin3pxws4ua,0x8f62178ce6a823b38546c8ad489b702ad4dfb5cb879a2217374e9e8c3f4e9f62
0x0000000000000000000000000000000000000000000000000000000000000305,https://bafkreigdpdjmf6lgalibsk2kc67blpc7eu4gxwyq4kw4jzk7vwoaluhjoi.ipfs.dweb.link,835,bafkreigdpdjmf6lgalibsk2kc67blpc7eu4gxwyq4kw4jzk7vwoaluhjoi,0x5d563a89f67c79583618da36b8e2d53d95efad3463155282ba80e9b5d989cc77
0x0000000000000000000000000000000000000000000000000000000000000306,https://bafkreiddzyt424cxfu6nxbry7ysalhu7hkiz2u3duwjjucssxvv5f2chze.ipfs.dweb.link,836,bafkreiddzyt424cxfu6nxbry7ysalhu7hkiz2u3duwjjucssxvv5f2chze,0x91f64d4ad69019611a0a01d9d47e509bcd3674a3b4a664e1a4912c969573e831
0x0000000000000000000000000000000000000000000000000000000000000307,https://bafkreihkeklud2cla2hbq67vu6i32yk46b63npqvhbos5ofvykn4jiw3mu.ipfs.dweb.link,837,bafkreihkeklud2cla2hbq67vu6i32yk46b63npqvhbos5ofvykn4jiw3mu,0x4d259021c45cf699e57ef41895e8f4152cc15e8176ec5d04243a4caa230f0ba9
0x0000000000000000000000000000000000000000000000000000000000000308,https://bafybeidvpbnlpg64wsjcp4hgnuvwldpnlqn7r4gpowsv5wvj6ac2zifmeq.ipfs.dweb.link,838,bafybeidvpbnlpg64wsjcp4hgnuvwldpnlqn7r4gpowsv5wvj6ac2zifmeq,0x74a8b97d73fa173231bb9997339d12af0a77fb05c7a11712ec377edbbfc38201
0x0000000000000000000000000000000000000000000000000000000000000309,https://bafybeiah4jeijp2cnzg6stfmpb5g3sqtih46uy6k5tor35ehbzlhdbjp7q.ipfs.dweb.link,839,bafybeiah4jeijp2cnzg6stfmpb5g3sqtih46uy6k5tor35ehbzlhdbjp7q,0x2ee5a3847c2da470ca96056083de1496b7c7bc15d257782219b81bf969c5395c
0x000000000000000000000000000000000000000000000000000000000000030a,https://bafybeibs3rif56tglmrh4bmcwyzh6qnlrsywj2vmsjmmergpncopjgdpge.ipfs.dweb.link,840,bafybeibs3rif56tglmrh4bmcwyzh6qnlrsywj2vmsjmmergpncopjgdpge,0x14475c6001457ce3ecb2161c42a7ac11e9e92d4983a2a92eccaeb426a55c3c53
0x000000000000000000000000000000000000000000000000000000000000030b,https://bafybeids5hpwitbr6hfqforjtdshzeigoczwh6jyiflpqvfokiihnol7um.ipfs.dweb.link,841,bafybeids5hpwitbr6hfqforjtdshzeigoczwh6jyiflpqvfokiihnol7um,0xf6f41e63d800dbd484f057b20c08a13c42a1799f962d49d9b7fe918e61460350
0x000000000000000000000000000000000000000000000000000000000000030c,https://bafybeidrbfi225tuc6xaj7eov4pluul72syu4gaf6c2b6mvzvo2utnv2cy.ipfs.dweb.link,842,bafybeidrbfi225tuc6xaj7eov4pluul72syu4gaf6c2b6mvzvo2utnv2cy,0x377f6b29011b15afb40d1577ccb3f5b73af255ffd81f6696d0447ad1caa00c2e
